l | labetalol,lacosamide,lactulose,lantus,lasix,latanoprost,levetiracetam,levophed,levothyroxine,librium,lidocaine,lidocaine-epinephrine,lidocaine-prilocaine,liothyronine,lipitor,lisdexamfetamine,lisinopril,lokelma,lomotil,lopressor,lorazepam,losartan,lovenox,luminal,lyrica
m | mag,mag-al,magnesium,mannitol,marinol,maxipime,melatonin,meperidine,methadone,methocarbamol,methohexital,methylphenidate,metoclopramide,metolazone,metoprolol,metronidazole,microzide,midazolam,miralax,monurol,morphine,motrin,moxifloxacin,ms,msir,mucinex,multivitamin,mupirocin,mydriacyl
n | nalbuphine,naloxone,narcan,nembutal,neo-synephrine,neostigmine,neurontin,neutra-phos,nexterone,nicoderm,nicotine,nitro-bid,nitroglycerin,nitrostat,norco,norepinephrine,norvasc,ns,nubain,nucynta,nuvigil
o | ocean,ofirmev,omnipaque,ondansetron,onfi,orazinc,oxandrin,oxandrolone,oxycodone,oxycodone-apap,oxycontin
p | pantoprazole,pe-tropicamide-diclofenac,pentobarbital,pepcid,perampanel,percocet,peridex,phenergan,phenobarbital,phenylephrine,phos-nak,physostigmine,phytonadione,piperacillin-tazobactam,pitressin,plasma-lyte,plavix,polyethylene,pontocaine,potassium*,pravachol,pravastatin,precedex,pregabalin,prezista,prinivil,prochlorperazine,promethazine,propofol,protonix,proventil,proventil-proair,pulmicort
r | racepinephrine,refresh,refrigerator,reglan,remdesivir,remifentanil,renvela,requip,restoril,retacrit,riastap,risperdal-m,risperdal,risperidone,ritalin,robaxin,robinul,robitussin-dm,robitussin,rocaltrol,rocephin,rocuronium*,romazicon,ropinirole,rosuvastatin,roxicodone
s | s2,sacubitril-valsartan,scopolamine,senna-docusate,senokot-s,sensorcaine,sertraline,sevelamer,sinemet,sodium_chloride,solu-cortef,sorbitol,spiriva,stadol,sublimaze,suboxone,subutex,succinylcholine*,sufenta,sufentanil,sugammadex,surgicel,symbicort,synthroid
t | tambocor,tamsulosin,tapentadol,tdap,temazepam,tenex,terazosin,testosterone,tetracaine,thera-m,therapeutic,thiamine,tiotropium,tirofiban,tizanidine,toprol-xl,toradol,tramadol,trandate,trandate-normodyne,tranexamic,transderm-scop,trazodone,tridil,tropicamide,tums,tylenol
u | ultiva,ultram,unasyn
v | valium,vancocin,vancomycin,vasopressin,venlafaxine,venofer,ventolin,verapamil,versed,vibra-tabs,vigamox,vimpat,vitamin,voltaren,vyvanse
x | xalatan,xanax,xylocaine
z | zanaflex,zaroxolyn,zemuron,zinc,ziprasidone,zofran,zoloft,zolpidem,zosyn,zyloprim,zyrtec
2
ac | acetaminophen,acetaminophen-codeine
ad | adderall,adenocard,adenosine,adrenalin,advil
al | albumin,albuterol,alfenta,alfentanil,allopurinol,alprazolam,altafrin,alum-mag,alvimopan
am | ambien,amidate,amiodarone,amitriptyline,amlodipine,amobarbital,amoxicillin-clavulanate,ampicillin-sulbactam,amytal
an | ancef,anectine,anti-inhibitor,antilirium
ap | apixaban*,apresoline
ar | arformoterol,aricept,armodafinil
as | ascorbic_acid,aspirin
at | atarax,ativan,atorvastatin,atropine,atrovent
av | aveed,avelox
be | belladonna-opium,benadryl,benzocaine-menthol
br | brevibloc,brevital,bridion,brivaracetam,briviact,brovana
bu | budesonide,budesonide-formoterol,bumetanide,bumex,bupivacaine,buprenex,buprenorphine,buprenorphine-naloxone,butorphanol
ca | cafcit,caffeine,calan,calcitriol,calcium,cannabidiol,carbidopa-levodopa,carboxymethylcellulose,carvedilol
ce | cefazolin,cefepime,ceftazidime,ceftriaxone,celecoxib,cellulose,cephulac,cetirizine
ch | chloraseptic,chlordiazepoxide,chlorhexidine,cholecalciferol
cl | cleocin,clindamycin,clobazam,clonazepam,clonidine,clopidogrel
co | cocaine,colace,compazine,concerta,cordarone,coreg,coumadin*,cozaar
cy | cyclobenzaprine,cyclogyl,cyclomydril,cyclopentolate,cyclopentolate-phenylephrine,cyklokapron,cytomel
d5 | d50,d5w
de | decadron,demerol,depakote,depo-testosterone,desitin,desyrel,dexamethasone,dexmedetomidine*,dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat
di | diastat,diazepam,diclofenac,dilaudid,diluent,diphenhydramine,diphenoxylate-atropine,diphtheria-pertussis(acel)-tetanus,diprivan,divalproex
do | docusate,dolophine,dolophoine,donepezil,dopamine,doxycycline
dr | dronabinol,droperidol
du | dulcolax,duo-neb,duraclon,duragesic
el | elavil,electrolyte-a,eliquis*
en | enemeez,enoxaparin,entereg,entresto
ep | ephedrine,epidiolex,epinephrine,epoetin*,epoprostenol
fe | feiba,fentanyl,fentanyl-bupiv,ferrous
fl | flagyl,flecainide*,fleet,flexeril,flolan,flomax,flu,fluarix,flumazenil,fluzone
fo | fortaz,fosfomycin
ga | gabapentin,garamycin
ge | gentamicin,geodon
gl | glutose,glycopyrrolate
gu | guaifenesin,guaifenesin-codeine,guanfacine
ha | haldol,haloperidol
hu | humalog,humulin
hy | hycodan,hydralazine,hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone,hydromorphone,hydroxyzine,hytrin
in | inapsine,insulin
ip | ipratropium,ipratropium-albuterol
is | isopto,isordil,isosorbide,isradipine
ke | keppra,ketalar,ketamine,ketorolac
kl | klonopin,klor-con
la | labetalol,lacosamide,lactulose,lantus,lasix,latanoprost
le | levetiracetam,levophed,levothyroxine
li | librium,lidocaine,lidocaine-epinephrine,lidocaine-prilocaine,liothyronine,lipitor,lisdexamfetamine,lisinopril
lo | lokelma,lomotil,lopressor,lorazepam,losartan,lovenox
ma | mag,mag-al,magnesium,mannitol,marinol,maxipime
me | melatonin,meperidine,methadone,methocarbamol,methohexital,methylphenidate,metoclopramide,metolazone,metoprolol,metronidazole
mi | microzide,midazolam,miralax
mo | monurol,morphine,motrin,moxifloxacin
ms | ms,msir
mu | mucinex,multivitamin,mupirocin
na | nalbuphine,naloxone,narcan
ne | nembutal,neo-synephrine,neostigmine,neurontin,neutra-phos,nexterone
ni | nicoderm,nicotine,nitro-bid,nitroglycerin,nitrostat
no | norco,norepinephrine,norvasc
nu | nubain,nucynta,nuvigil
on | ondansetron,onfi
ox | oxandrin,oxandrolone,oxycodone,oxycodone-apap,oxycontin
pe | pe-tropicamide-diclofenac,pentobarbital,pepcid,perampanel,percocet,peridex
ph | phenergan,phenobarbital,phenylephrine,phos-nak,physostigmine,phytonadione
pi | piperacillin-tazobactam,pitressin
pl | plasma-lyte,plavix
po | polyethylene,pontocaine,potassium*
pr | pravachol,pravastatin,precedex,pregabalin,prezista,prinivil,prochlorperazine,promethazine,propofol,protonix,proventil,proventil-proair
re | refresh,refrigerator,reglan,remdesivir,remifentanil,renvela,requip,restoril,retacrit
ri | riastap,risperdal-m,risperdal,risperidone,ritalin
ro | robaxin,robinul,robitussin-dm,robitussin,rocaltrol,rocephin,rocuronium*,romazicon,ropinirole,rosuvastatin,roxicodone
se | senna-docusate,senokot-s,sensorcaine,sertraline,sevelamer
so | sodium_chloride,solu-cortef,sorbitol
su | sublimaze,suboxone,subutex,succinylcholine*,sufenta,sufentanil,sugammadex,surgicel
sy | symbicort,synthroid
ta | tambocor,tamsulosin,tapentadol
te | temazepam,tenex,terazosin,testosterone,tetracaine
th | thera-m,therapeutic,thiamine
ti | tiotropium,tirofiban,tizanidine
to | toprol-xl,toradol
tr | tramadol,trandate,trandate-normodyne,tranexamic,transderm-scop,trazodone,tridil,tropicamide
ul | ultiva,ultram
va | valium,vancocin,vancomycin,vasopressin
ve | venlafaxine,venofer,ventolin,verapamil,versed
vi | vibra-tabs,vigamox,vimpat,vitamin
xa | xalatan,xanax
za | zanaflex,zaroxolyn
zi | zinc,ziprasidone
zo | zofran,zoloft,zolpidem,zosyn
zy | zyloprim,zyrtec
3
ace | acetaminophen,acetaminophen-codeine
ade | adenocard,adenosine
alb | albumin,albuterol
alf | alfenta,alfentanil
ami | amidate,amiodarone,amitriptyline
amo | amobarbital,amoxicillin-clavulanate
ant | anti-inhibitor,antilirium
atr | atropine,atrovent
ave | aveed,avelox
ben | benadryl,benzocaine-menthol
bre | brevibloc,brevital
bri | bridion,brivaracetam,briviact
bud | budesonide,budesonide-formoterol
bum | bumetanide,bumex
bup | bupivacaine,buprenex,buprenorphine,buprenorphine-naloxone
caf | cafcit,caffeine
cal | calan,calcitriol,calcium
car | carbidopa-levodopa,carboxymethylcellulose,carvedilol
cef | cefazolin,cefepime,ceftazidime,ceftriaxone
cel | celecoxib,cellulose
chl | chloraseptic,chlordiazepoxide,chlorhexidine
clo | clobazam,clonazepam,clonidine,clopidogrel
cor | cordarone,coreg
cyc | cyclobenzaprine,cyclogyl,cyclomydril,cyclopentolate,cyclopentolate-phenylephrine
dep | depakote,depo-testosterone
des | desitin,desyrel
dex | dexamethasone,dexmedetomidine*,dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat
dia | diastat,diazepam
dil | dilaudid,diluent
dip | diphenhydramine,diphenoxylate-atropine,diphtheria-pertussis(acel)-tetanus,diprivan
dol | dolophine,dolophoine
dro | dronabinol,droperidol
dur | duraclon,duragesic
ent | entereg,entresto
epi | epidiolex,epinephrine
epo | epoetin*,epoprostenol
fen | fentanyl,fentanyl-bupiv
fle | flecainide*,fleet,flexeril
flo | flolan,flomax
flu | flu,fluarix,flumazenil,fluzone
gua | guaifenesin,guaifenesin-codeine,guanfacine
hal | haldol,haloperidol
hum | humalog,humulin
hyd | hydralazine,hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone,hydromorphone,hydroxyzine
ipr | ipratropium,ipratropium-albuterol
iso | isopto,isordil,isosorbide
ket | ketalar,ketamine,ketorolac
klo | klonopin,klor-con
lac | lacosamide,lactulose
lev | levetiracetam,levophed,levothyroxine
lid | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
lis | lisdexamfetamine,lisinopril
mag | mag,mag-al,magnesium
met | methadone,methocarbamol,methohexital,methylphenidate,metoclopramide,metolazone,metoprolol,metronidazole
nal | nalbuphine,naloxone
neo | neo-synephrine,neostigmine
neu | neurontin,neutra-phos
nic | nicoderm,nicotine
nit | nitro-bid,nitroglycerin,nitrostat
nor | norco,norepinephrine,norvasc
oxa | oxandrin,oxandrolone
oxy | oxycodone,oxycodone-apap,oxycontin
per | perampanel,percocet,peridex
phe | phenergan,phenobarbital,phenylephrine
phy | physostigmine,phytonadione
pla | plasma-lyte,plavix
pra | pravachol,pravastatin
pre | precedex,pregabalin,prezista
pro | prochlorperazine,promethazine,propofol,protonix,proventil,proventil-proair
ref | refresh,refrigerator
rem | remdesivir,remifentanil
ris | risperdal-m,risperdal,risperidone
rob | robaxin,robinul,robitussin-dm,robitussin
roc | rocaltrol,rocephin,rocuronium*
sen | senna-docusate,senokot-s,sensorcaine
sub | sublimaze,suboxone,subutex
suf | sufenta,sufentanil
tam | tambocor,tamsulosin
the | thera-m,therapeutic
tra | tramadol,trandate,trandate-normodyne,tranexamic,transderm-scop,trazodone
ult | ultiva,ultram
van | vancocin,vancomycin
ven | venlafaxine,venofer,ventolin
ver | verapamil,versed
zol | zoloft,zolpidem
4
acet | acetaminophen,acetaminophen-codeine
aden | adenocard,adenosine
albu | albumin,albuterol
alfe | alfenta,alfentanil
anti | anti-inhibitor,antilirium
atro | atropine,atrovent
brev | brevibloc,brevital
briv | brivaracetam,briviact
bude | budesonide,budesonide-formoterol
bume | bumetanide,bumex
bupr | buprenex,buprenorphine,buprenorphine-naloxone
calc | calcitriol,calcium
carb | carbidopa-levodopa,carboxymethylcellulose
ceft | ceftazidime,ceftriaxone
chlo | chloraseptic,chlordiazepoxide,chlorhexidine
clon | clonazepam,clonidine
cycl | cyclobenzaprine,cyclogyl,cyclomydril,cyclopentolate,cyclopentolate-phenylephrine
dext | dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat
diph | diphenhydramine,diphenoxylate-atropine,diphtheria-pertussis(acel)-tetanus
dolo | dolophine,dolophoine
dura | duraclon,duragesic
fent | fentanyl,fentanyl-bupiv
guai | guaifenesin,guaifenesin-codeine
hydr | hydralazine,hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone,hydromorphone,hydroxyzine
ipra | ipratropium,ipratropium-albuterol
keta | ketalar,ketamine
levo | levophed,levothyroxine
lido | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
meth | methadone,methocarbamol,methohexital,methylphenidate
meto | metoclopramide,metolazone,metoprolol
nico | nicoderm,nicotine
nitr | nitro-bid,nitroglycerin,nitrostat
oxan | oxandrin,oxandrolone
oxyc | oxycodone,oxycodone-apap,oxycontin
phen | phenergan,phenobarbital,phenylephrine
prav | pravachol,pravastatin
prov | proventil,proventil-proair
refr | refresh,refrigerator
risp | risperdal-m,risperdal,risperidone
robi | robinul,robitussin-dm,robitussin
sufe | sufenta,sufentanil
ther | thera-m,therapeutic
tran | trandate,trandate-normodyne,tranexamic,transderm-scop
vanc | vancocin,vancomycin
5
aceta | acetaminophen,acetaminophen-codeine
adeno | adenocard,adenosine
alfen | alfenta,alfentanil
brevi | brevibloc,brevital
budes | budesonide,budesonide-formoterol
bupre | buprenex,buprenorphine,buprenorphine-naloxone
calci | calcitriol,calcium
chlor | chloraseptic,chlordiazepoxide,chlorhexidine
cyclo | cyclobenzaprine,cyclogyl,cyclomydril,cyclopentolate,cyclopentolate-phenylephrine
dextr | dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat
diphe | diphenhydramine,diphenoxylate-atropine
dolop | dolophine,dolophoine
fenta | fentanyl,fentanyl-bupiv
guaif | guaifenesin,guaifenesin-codeine
hydro | hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone,hydromorphone,hydroxyzine
iprat | ipratropium,ipratropium-albuterol
lidoc | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
metho | methocarbamol,methohexital
nitro | nitro-bid,nitroglycerin,nitrostat
oxand | oxandrin,oxandrolone
oxyco | oxycodone,oxycodone-apap,oxycontin
prava | pravachol,pravastatin
prove | proventil,proventil-proair
rispe | risperdal-m,risperdal,risperidone
robit | robitussin-dm,robitussin
sufen | sufenta,sufentanil
thera | thera-m,therapeutic
trand | trandate,trandate-normodyne
vanco | vancocin,vancomycin
6
acetam | acetaminophen,acetaminophen-codeine
alfent | alfenta,alfentanil
budeso | budesonide,budesonide-formoterol
bupren | buprenex,buprenorphine,buprenorphine-naloxone
cyclop | cyclopentolate,cyclopentolate-phenylephrine
dextro | dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat
diphen | diphenhydramine,diphenoxylate-atropine
doloph | dolophine,dolophoine
fentan | fentanyl,fentanyl-bupiv
guaife | guaifenesin,guaifenesin-codeine
hydroc | hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone
ipratr | ipratropium,ipratropium-albuterol
lidoca | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
oxandr | oxandrin,oxandrolone
oxycod | oxycodone,oxycodone-apap
proven | proventil,proventil-proair
risper | risperdal-m,risperdal,risperidone
robitu | robitussin-dm,robitussin
sufent | sufenta,sufentanil
tranda | trandate,trandate-normodyne
7
acetami | acetaminophen,acetaminophen-codeine
alfenta | alfenta,alfentanil
budeson | budesonide,budesonide-formoterol
bupreno | buprenorphine,buprenorphine-naloxone
cyclope | cyclopentolate,cyclopentolate-phenylephrine
dextroa | dextroamphetamine,dextroamphetamine-amphetamine
dextros | dextrose,dextrostat
fentany | fentanyl,fentanyl-bupiv
guaifen | guaifenesin,guaifenesin-codeine
hydroco | hydrocodone-apap,hydrocodone-homatropine,hydrocortisone
ipratro | ipratropium,ipratropium-albuterol
lidocai | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
oxycodo | oxycodone,oxycodone-apap
provent | proventil,proventil-proair
risperd | risperdal-m,risperdal
robitus | robitussin-dm,robitussin
sufenta | sufenta,sufentanil
trandat | trandate,trandate-normodyne
8
acetamin | acetaminophen,acetaminophen-codeine
budesoni | budesonide,budesonide-formoterol
buprenor | buprenorphine,buprenorphine-naloxone
cyclopen | cyclopentolate,cyclopentolate-phenylephrine
dextroam | dextroamphetamine,dextroamphetamine-amphetamine
fentanyl | fentanyl,fentanyl-bupiv
guaifene | guaifenesin,guaifenesin-codeine
hydrocod | hydrocodone-apap,hydrocodone-homatropine
ipratrop | ipratropium,ipratropium-albuterol
lidocain | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
oxycodon | oxycodone,oxycodone-apap
proventi | proventil,proventil-proair
risperda | risperdal-m,risperdal
robituss | robitussin-dm,robitussin
trandate | trandate,trandate-normodyne
9
acetamino | acetaminophen,acetaminophen-codeine
budesonid | budesonide,budesonide-formoterol
buprenorp | buprenorphine,buprenorphine-naloxone
cyclopent | cyclopentolate,cyclopentolate-phenylephrine
dextroamp | dextroamphetamine,dextroamphetamine-amphetamine
guaifenes | guaifenesin,guaifenesin-codeine
hydrocodo | hydrocodone-apap,hydrocodone-homatropine
ipratropi | ipratropium,ipratropium-albuterol
lidocaine | lidocaine,lidocaine-epinephrine,lidocaine-prilocaine
oxycodone | oxycodone,oxycodone-apap
proventil | proventil,proventil-proair
risperdal | risperdal-m,risperdal
robitussi | robitussin-dm,robitussin
10
acetaminop | acetaminophen,acetaminophen-codeine
budesonide | budesonide,budesonide-formoterol
buprenorph | buprenorphine,buprenorphine-naloxone
cyclopento | cyclopentolate,cyclopentolate-phenylephrine
dextroamph | dextroamphetamine,dextroamphetamine-amphetamine
guaifenesi | guaifenesin,guaifenesin-codeine
hydrocodon | hydrocodone-apap,hydrocodone-homatropine
ipratropiu | ipratropium,ipratropium-albuterol
lidocaine- | lidocaine-epinephrine,lidocaine-prilocaine
robitussin | robitussin-dm,robitussin
11
acetaminoph | acetaminophen,acetaminophen-codeine
buprenorphi | buprenorphine,buprenorphine-naloxone
cyclopentol | cyclopentolate,cyclopentolate-phenylephrine
dextroamphe | dextroamphetamine,dextroamphetamine-amphetamine
guaifenesin | guaifenesin,guaifenesin-codeine
hydrocodone | hydrocodone-apap,hydrocodone-homatropine
ipratropium | ipratropium,ipratropium-albuterol
12
acetaminophe | acetaminophen,acetaminophen-codeine
buprenorphin | buprenorphine,buprenorphine-naloxone
cyclopentola | cyclopentolate,cyclopentolate-phenylephrine
dextroamphet | dextroamphetamine,dextroamphetamine-amphetamine
hydrocodone- | hydrocodone-apap,hydrocodone-homatropine
13
acetaminophen | acetaminophen,acetaminophen-codeine
buprenorphine | buprenorphine,buprenorphine-naloxone
cyclopentolat | cyclopentolate,cyclopentolate-phenylephrine
dextroampheta | dextroamphetamine,dextroamphetamine-amphetamine
14
cyclopentolate | cyclopentolate,cyclopentolate-phenylephrine
dextroamphetam | dextroamphetamine,dextroamphetamine-amphetamine
15
dextroamphetami | dextroamphetamine,dextroamphetamine-amphetamine
16
dextroamphetamin | dextroamphetamine,dextroamphetamine-amphetamine
17
dextroamphetamine | dextroamphetamine,dextroamphetamine-amphetamine
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34

Ordered Uniques List
warfarin*
aggrastat
augmentin
azithromycin
b&o
bactroban
bisacodyl
bloxiverz
citalopram
crestor
d-vi-sol
d10w
darunavir
dynacirc
effexor
emla
erythromycin
esmolol
etomidate
famotidine
fibrinogen
furosemide
fycompa
heparin
ibuprofen
ilotycin
iohexol
iron
kcl*
kdur
luminal
lyrica
mydriacyl
ns
ocean
ofirmev
omnipaque
orazinc
pantoprazole
pulmicort
racepinephrine
s2
sacubitril-valsartan
scopolamine
sinemet
spiriva
stadol
tdap
tums
tylenol
unasyn
voltaren
vyvanse
xylocaine
zemuron
adderall
adrenalin
advil
allopurinol
alprazolam
altafrin
alum-mag
alvimopan
ambien
amlodipine
ampicillin-sulbactam
amytal
ancef
anectine
apixaban*
apresoline
arformoterol
aricept
armodafinil
ascorbic_acid
aspirin
atarax
ativan
atorvastatin
belladonna-opium
brovana
butorphanol
cannabidiol
cephulac
cetirizine
cholecalciferol
cleocin
clindamycin
cocaine
colace
compazine
concerta
coumadin*
cozaar
cyklokapron
cytomel
d50
d5w
decadron
demerol
diclofenac
divalproex
docusate
donepezil
dopamine
doxycycline
dulcolax
duo-neb
elavil
electrolyte-a
eliquis*
enemeez
enoxaparin
ephedrine
feiba
ferrous
flagyl
fortaz
fosfomycin
gabapentin
garamycin
gentamicin
geodon
glutose
glycopyrrolate
hycodan
hytrin
inapsine
insulin
isradipine
keppra
labetalol
lantus
lasix
latanoprost
librium
liothyronine
lipitor
lokelma
lomotil
lopressor
lorazepam
losartan
lovenox
mannitol
marinol
maxipime
melatonin
meperidine
microzide
midazolam
miralax
monurol
morphine
motrin
moxifloxacin
msir
mucinex
multivitamin
mupirocin
narcan
nembutal
nexterone
nubain
nucynta
nuvigil
ondansetron
onfi
pe-tropicamide-diclofenac
pentobarbital
pepcid
phos-nak
piperacillin-tazobactam
pitressin
polyethylene
pontocaine
potassium*
prinivil
reglan
renvela
requip
restoril
retacrit
riastap
ritalin
romazicon
ropinirole
rosuvastatin
roxicodone
sertraline
sevelamer
sodium_chloride
solu-cortef
sorbitol
succinylcholine*
sugammadex
surgicel
symbicort
synthroid
tapentadol
temazepam
tenex
terazosin
testosterone
tetracaine
thiamine
tiotropium
tirofiban
tizanidine
toprol-xl
toradol
tridil
tropicamide
valium
vasopressin
vibra-tabs
vigamox
vimpat
vitamin
xalatan
xanax
zanaflex
zaroxolyn
zinc
ziprasidone
zofran
zosyn
zyloprim
zyrtec
amidate
amiodarone
amitriptyline
amobarbital
amoxicillin-clavulanate
aveed
avelox
benadryl
benzocaine-menthol
bridion
bupivacaine
cafcit
caffeine
calan
carvedilol
cefazolin
cefepime
celecoxib
cellulose
clobazam
clopidogrel
cordarone
coreg
depakote
depo-testosterone
desitin
desyrel
dexamethasone
dexmedetomidine*
diastat
diazepam
dilaudid
diluent
diprivan
dronabinol
droperidol
entereg
entresto
epidiolex
epinephrine
epoetin*
epoprostenol
flecainide*
fleet
flexeril
flolan
flomax
fluarix
flumazenil
fluzone
guanfacine
haldol
haloperidol
humalog
humulin
isopto
isordil
isosorbide
ketorolac
klonopin
klor-con
lacosamide
lactulose
levetiracetam
lisdexamfetamine
lisinopril
mag-al
magnesium
metronidazole
nalbuphine
naloxone
neo-synephrine
neostigmine
neurontin
neutra-phos
norco
norepinephrine
norvasc
perampanel
percocet
peridex
physostigmine
phytonadione
plasma-lyte
plavix
precedex
pregabalin
prezista
prochlorperazine
promethazine
propofol
protonix
remdesivir
remifentanil
robaxin
rocaltrol
rocephin
rocuronium*
senna-docusate
senokot-s
sensorcaine
sublimaze
suboxone
subutex
tambocor
tamsulosin
tramadol
trazodone
ultiva
ultram
venlafaxine
venofer
ventolin
verapamil
versed
zoloft
zolpidem
albumin
albuterol
anti-inhibitor
antilirium
atropine
atrovent
brivaracetam
briviact
bumetanide
bumex
carbidopa-levodopa
carboxymethylcellulose
ceftazidime
ceftriaxone
clonazepam
clonidine
diphtheria-pertussis(acel)-tetanus
duraclon
duragesic
hydralazine
ketalar
